frequency_relative_to_carrier_hz	psd_relative_db
-39999.023438	-54.932519
-39996.093750	-54.208885
-39993.164062	-54.471630
-39990.234375	-54.347174
-39987.304688	-54.698418
-39984.375000	-55.574806
-39981.445312	-55.240767
-39978.515625	-55.868662
-39975.585938	-55.936763
-39972.656250	-55.241208
-39969.726562	-55.357739
-39966.796875	-55.756830
-39963.867188	-54.532220
-39960.937500	-54.062641
-39958.007812	-54.118091
-39955.078125	-53.870121
-39952.148438	-54.224008
-39949.218750	-54.693569
-39946.289062	-54.824863
-39943.359375	-54.320836
-39940.429688	-54.321831
-39937.500000	-54.602364
-39934.570312	-54.429765
-39931.640625	-54.869530
-39928.710938	-54.902891
-39925.781250	-55.773529
-39922.851562	-54.523787
-39919.921875	-53.278616
-39916.992188	-55.201633
-39914.062500	-56.022843
-39911.132812	-55.695782
-39908.203125	-55.181517
-39905.273438	-55.127584
-39902.343750	-54.875106
-39899.414062	-54.725816
-39896.484375	-55.661729
-39893.554688	-55.212664
-39890.625000	-54.360915
-39887.695312	-54.985940
-39884.765625	-56.681526
-39881.835938	-55.992683
-39878.906250	-54.678589
-39875.976562	-54.813683
-39873.046875	-54.323407
-39870.117188	-54.371600
-39867.187500	-54.727032
-39864.257812	-54.563038
-39861.328125	-54.576493
-39858.398438	-53.963087
-39855.468750	-54.606679
-39852.539062	-55.537396
-39849.609375	-54.803621
-39846.679688	-54.687701
-39843.750000	-54.613935
-39840.820312	-54.487256
-39837.890625	-54.174053
-39834.960938	-54.405946
-39832.031250	-54.321021
-39829.101562	-54.420660
-39826.171875	-54.609832
-39823.242188	-54.406860
-39820.312500	-54.005672
-39817.382812	-53.839839
-39814.453125	-54.544869
-39811.523438	-55.884257
-39808.593750	-55.726071
-39805.664062	-55.045948
-39802.734375	-54.818250
-39799.804688	-54.649592
-39796.875000	-54.329471
-39793.945312	-53.758393
-39791.015625	-54.306415
-39788.085938	-55.429233
-39785.156250	-54.807439
-39782.226562	-54.796958
-39779.296875	-56.110146
-39776.367188	-55.628196
-39773.437500	-55.492661
-39770.507812	-54.908557
-39767.578125	-55.683287
-39764.648438	-55.523225
-39761.718750	-54.706755
-39758.789062	-55.704837
-39755.859375	-54.308613
-39752.929688	-54.201557
-39750.000000	-55.518798
-39747.070312	-56.097306
-39744.140625	-55.704422
-39741.210938	-54.890042
-39738.281250	-56.009255
-39735.351562	-54.631415
-39732.421875	-53.514846
-39729.492188	-54.175537
-39726.562500	-55.189648
-39723.632812	-54.813816
-39720.703125	-54.502347
-39717.773438	-55.574102
-39714.843750	-56.868468
-39711.914062	-54.893609
-39708.984375	-53.774072
-39706.054688	-54.529915
-39703.125000	-55.334530
-39700.195312	-55.269179
-39697.265625	-54.498952
-39694.335938	-55.257963
-39691.406250	-54.822453
-39688.476562	-54.857536
-39685.546875	-55.166902
